actual,proposed
-0.1999959945678711,-0.2719499170780182
-0.19796237349510193,-0.253961443901062
-0.19525088369846344,-0.2399616837501526
-0.19321726262569427,-0.22878398001194
-0.18482241034507751,-0.21989229321479797
-0.18221034109592438,-0.21112482249736786
-0.18025128543376923,-0.20389620959758759
-0.17829221487045288,-0.197984978556633
-0.17502710223197937,-0.19306178390979767
-0.14439891278743744,-0.1885531097650528
-0.14330504834651947,-0.17751456797122955
-0.14057038724422455,-0.16896218061447144
-0.13947650790214539,-0.1618642359972
-0.13783571124076843,-0.15626730024814606
-0.1481766253709793,-0.15165939927101135
-0.14698652923107147,-0.15078870952129364
-0.14639148116111755,-0.1498381644487381
-0.14579643309116364,-0.14897648990154266
-0.1446063369512558,-0.1481814831495285
-0.13512052595615387,-0.14728769659996033
-0.13456450402736664,-0.144245907664299
-0.13456450402736664,-0.14182555675506592
-0.13512052595615387,-0.1400102972984314
-0.1356765478849411,-0.13878785073757172
-0.1373445987701416,-0.13801002502441406
-0.1592152863740921,-0.13784366846084595
-0.16178306937217712,-0.1431865692138672
-0.16370889544487,-0.14783570170402527
-0.16627667844295502,-0.15180400013923645
-0.1694863736629486,-0.1554221659898758
-0.17415045201778412,-0.1589382141828537
-0.17738714814186096,-0.1627412736415863
-0.18127115070819855,-0.16640274226665497
-0.18580244481563568,-0.17011983692646027
-0.19033372402191162,-0.17404049634933472
-0.22304661571979523,-0.17811380326747894
-0.23199686408042908,-0.18934699892997742
-0.2387094646692276,-0.20000946521759033
-0.24616777896881104,-0.20968446135520935
-0.25288015604019165,-0.21880529820919037
-0.2375815212726593,-0.2273240089416504
-0.2465582638978958,-0.22988839447498322
-0.25208231806755066,-0.23405586183071136
-0.25829681754112244,-0.2385624647140503
-0.26451119780540466,-0.24349606037139893
-0.26796358823776245,-0.24874983727931976
-0.2915705740451813,-0.25355327129364014
-0.29811280965805054,-0.2630575895309448
-0.30392804741859436,-0.27182140946388245
-0.30974313616752625,-0.2798480689525604
-0.31483128666877747,-0.2873218357563019
-0.30518847703933716,-0.2941991984844208
-0.3100423514842987,-0.29694652557373047
-0.31212255358695984,-0.30022045969963074
-0.31281596422195435,-0.303195983171463
-0.3148961365222931,-0.30560097098350525
-0.3242836594581604,-0.3079247772693634
-0.3249899446964264,-0.31201449036598206
-0.3256962299346924,-0.31525835394859314
-0.3278150260448456,-0.31786781549453735
-0.3292275369167328,-0.3203546106815338
-0.3755992650985718,-0.32257285714149475
-0.37639978528022766,-0.3358294665813446
-0.3755992650985718,-0.3459720313549042
-0.3747987449169159,-0.35337886214256287
-0.27781012654304504,-0.3587338328361511
-0.2512248754501343,-0.3385029137134552
-0.2501375377178192,-0.3166833817958832
-0.24905018508434296,-0.3000469207763672
-0.2479628175497055,-0.2872977554798126
-0.24687547981739044,-0.27746400237083435
-0.2457880973815918,-0.26981687545776367
-0.22436940670013428,-0.2638096809387207
-0.22287051379680634,-0.2539496123790741
-0.2213716059923172,-0.24617983400821686
-0.21987269818782806,-0.23997777700424194
-0.21837379038333893,-0.23495151102542877
-0.24369306862354279,-0.2308070808649063
-0.24313294887542725,-0.23402857780456543
-0.24201272428035736,-0.23630467057228088
-0.24089248478412628,-0.2377316802740097
-0.2397722601890564,-0.23852188885211945
-0.2217925488948822,-0.2388344705104828
-0.22075141966342926,-0.23457399010658264
-0.2197103053331375,-0.2311183512210846
-0.21918973326683044,-0.22826634347438812
-0.21918973326683044,-0.225997194647789
-0.19730335474014282,-0.22429533302783966
-0.19730335474014282,-0.21754732728004456
-0.19730335474014282,-0.21248634159564972
-0.1963639259338379,-0.2086905837059021
-0.19589421153068542,-0.20560891926288605
-0.1949547827243805,-0.2031802386045456
-0.22265653312206268,-0.20112387835979462
-0.22372683882713318,-0.20650704205036163
-0.22533227503299713,-0.21081198751926422
-0.22640256583690643,-0.21444205939769745
-0.22693772614002228,-0.2174321860074997
-0.2030028998851776,-0.21980856359004974
-0.20347937941551208,-0.215607151389122
-0.20395585894584656,-0.21257521212100983
-0.20395585894584656,-0.2104203701019287
-0.20490878820419312,-0.20880423486232758
-0.21461404860019684,-0.20783036947250366
-0.21511192619800568,-0.20952630043029785
-0.21560978889465332,-0.2109227031469345
-0.216605544090271,-0.2120944708585739
-0.21710340678691864,-0.21322225034236908
-0.21809916198253632,-0.21419253945350647
-0.20324808359146118,-0.21516919136047363
-0.1600855439901352,-0.21218891441822052
-0.16044935584068298,-0.19916307926177979
-0.16081315279006958,-0.189484640955925
-0.16117694973945618,-0.18231676518917084
-0.17954115569591522,-0.17703181505203247
-0.1799464076757431,-0.17765915393829346
-0.18035165965557098,-0.17823097109794617
-0.18075689673423767,-0.17876113951206207
-0.18116213381290436,-0.17926007509231567
-0.14241351187229156,-0.17973558604717255
-0.14273136854171753,-0.1704050749540329
-0.14336711168289185,-0.16348664462566376
-0.14432071149349213,-0.15845675766468048
-0.1452743113040924,-0.154922753572464
-0.15014398097991943,-0.1525106430053711
-0.15144950151443481,-0.15191897749900818
-0.1527549922466278,-0.15180160105228424
-0.154060497879982,-0.15203996002674103
-0.15536600351333618,-0.15254509449005127
-0.15699787437915802,-0.1532503217458725
-0.14560621976852417,-0.15418720245361328
-0.14740370213985443,-0.152041956782341
-0.14890159666538239,-0.15088239312171936
-0.15099866688251495,-0.15038719773292542
-0.15309572219848633,-0.1505400687456131
-0.15650251507759094,-0.1511789709329605
-0.1586131751537323,-0.152509868144989
-0.16102536022663116,-0.15403568744659424
-0.16343751549720764,-0.15578310191631317
-0.16615121066570282,-0.1576967090368271
-0.21907706558704376,-0.15981033444404602
-0.2222062647342682,-0.17462702095508575
-0.2249443084001541,-0.18652182817459106
-0.22846461832523346,-0.19612744450569153
-0.2319849133491516,-0.2042117416858673
-0.27835947275161743,-0.2111550271511078
-0.28113776445388794,-0.2279561460018158
-0.28391605615615845,-0.24125155806541443
-0.2871573567390442,-0.25191769003868103
-0.29039862751960754,-0.26072758436203003
-0.3055165112018585,-0.268145352602005
-0.3088887631893158,-0.2774881422519684
-0.3112974762916565,-0.28533831238746643
-0.3141879141330719,-0.29182809591293335
-0.3165965974330902,-0.2974180579185486
-0.2627622187137604,-0.3022126853466034
-0.24125847220420837,-0.29235008358955383
-0.2419806867837906,-0.2795771658420563
-0.2419806867837906,-0.27017804980278015
-0.2423417717218399,-0.26312869787216187
-0.2427028864622116,-0.25793197751045227
-0.24635188281536102,-0.2541247010231018
-0.2467184215784073,-0.2521815001964569
-0.24745146930217743,-0.2508157193660736
-0.2478179931640625,-0.24997466802597046
-0.24818451702594757,-0.24943549931049347
-0.2950763702392578,-0.249122753739357
-0.2946406304836273,-0.2606111466884613
-0.29376915097236633,-0.2691185176372528
-0.29333341121673584,-0.2752811908721924
-0.29333341121673584,-0.27979424595832825
-0.33092692494392395,-0.28317901492118835
-0.33092692494392395,-0.29511600732803345
-0.33092692494392395,-0.3040687143802643
-0.3314177393913269,-0.3107832670211792
-0.3314177393913269,-0.3159419000148773
-0.33190858364105225,-0.3198108673095703
-0.37093740701675415,-0.3228352963924408
-0.3720311224460602,-0.33486080169677734
-0.373124897480011,-0.34415340423583984
-0.373124897480011,-0.35139626264572144
